Sample,2bRAD_sample_id,18s Code,Taxon,Total Length (mm),Inferred Age,Photo,genus,species,Gut contents?,Latitude,Longitude,Region,Current,Cruise,Station,Date,Time,Temp (oC),Fluoro (chl-a),Salinity (psu),Bottom depth (m),Tow depth (m),Tow Length (m),Net Area (m2),Tow Volume (m3),Zoop Biomass (ml),Zpl Density (ml/m3),Moon Phase %,risen or set
S261-018-TT-K35,,,K. pelamis,4.8423,3.249555556,S261-018-TT-K35,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K36,261-G61,,K. pelamis,4.0685,1.53,S261-018-TT-K36,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K37,,,K. pelamis,N/A,N/A,S261-018-TT-K37,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K38,261-G62,,K. pelamis,5.1204,3.867555556,S261-018-TT-K38,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K39,261-G63,,K. pelamis,5.2868,4.237333333,S261-018-TT-K39,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K4,261-G31,,K. pelamis,5.9235,5.652222222,S261-018-TT-K4,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K40,261-G64,,K. pelamis,5.6144,4.965333333,S261-018-TT-K40,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K41,,,K. pelamis,N/A,N/A,S261-018-TT-K41,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K42,261-G65,,K. pelamis,5.1104,3.845333333,S261-018-TT-K42,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K43,261-G66,,K. pelamis,5.5271,4.771333333,S261-018-TT-K43,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K44,261-G67,,K. pelamis,5.4786,4.663555556,S261-018-TT-K44,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K45,261-G68,,K. pelamis,5.5951,4.922444444,S261-018-TT-K45,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K46,261-G69,,K. pelamis,5.882,5.56,S261-018-TT-K46,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K47,261-G70,,K. pelamis,5.0992,3.820444444,S261-018-TT-K47,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K48,261-G71,,K. pelamis,4.8223,3.205111111,S261-018-TT-K48,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K49,261-G72,,K. pelamis,4.9848,3.566222222,S261-018-TT-K49,Katsuwonus,pelamis,1 calanoid,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K5,261-G32,,K. pelamis,5.3371,4.349111111,S261-018-TT-K5,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K50,261-G73,,K. pelamis,5.3968,4.481777778,S261-018-TT-K50,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K51,261-G74,GC_1,K. pelamis,5.1311,3.891333333,S261-018-TT-K51,Katsuwonus,pelamis,Yes,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K52,261-G75,,K. pelamis,5.1126,3.850222222,S261-018-TT-K52,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K53,261-G76,,K. pelamis,5.5164,4.747555556,S261-018-TT-K53,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K54,261-G77,,K. pelamis,5.4748,4.655111111,S261-018-TT-K54,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K55,261-G78,,K. pelamis,5.4962,4.702666667,S261-018-TT-K55,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K56,261-G79,,K. pelamis,5.7351,5.233555556,S261-018-TT-K56,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
S261-018-TT-K57,261-G80,,K. pelamis,4.8846,3.343555556,S261-018-TT-K57,Katsuwonus,pelamis,No,0.667,-167.283,EUC,EUC,S261,S261-018-TT,16-Jul-15,1114,30.4,2.62,34.6,5252,116,2756.989,1,2756.989,14,0.005078004,0,risen
